"","county_name","county_pop2000","statename","stateabbrv","racial_segregation","inequality","poverty_rate","top_1per_income_share","frac_middleclass","unemp_rate","pop_change_80_2000","migration_inflow","migration_outflow","mean_household_income","median_house_value","hs_dropout_rate","percent_college_degree","crime_rate","region"
"1","Albany",294565,"New York","NY",0.2153744,0.4328041,0.1061957,0.10859,0.45627,0.0336652,0.0302754,0.036446964,0.040038701,42120.65,155027.9,-0.0033237,33.3,0.0110366,"capital"
"2","Allegany",49927,"New York","NY",0.0354812,0.3487771,0.1550888,0.07129,0.60695,0.0477833,-0.0350779,0.018326757,0.017946202,27133.16,67183.2,-0.0084773,17.2,0.0071504,"western"
"3","Bronx",1332650,"New York","NY",0.2345828,0.4510815,0.3068255,0.09285,0.45189,0.0740004,0.1400187,0.030194725,0.045028327,25845.15,253803.2,NA,14.6,0.0087246,"new york"
"4","Broome",200536,"New York","NY",0.105526,0.4055002,0.128346,0.08998,0.52474,0.0427709,-0.061372,0.017622771,0.020674592,35832.85,101041.4,-0.0120655,22.7,0.0085678,"southern tier"
"5","Cattaraugus",83955,"New York","NY",0.1528031,0.3590792,0.1372617,0.08908,0.61337,0.0506721,-0.0203274,0.01823596,0.019879698,30226.02,81046.4,-0.0097974,14.9,0.0058483,"western"
"6","Cayuga",81963,"New York","NY",0.2106198,0.3352641,0.1106163,0.07359,0.60687,0.0430116,0.0258968,0.018605956,0.017947123,32373.89,100374.9,-0.0152643,15.5,0.0061979,"central"
"7","Chautauqua",139750,"New York","NY",0.1350837,0.3694484,0.1384168,0.07116,0.5853,0.0468472,-0.0488344,0.009767442,0.013266547,31578.69,85312,-0.0104361,16.9,0.004873,"western"
"8","Chemung",91070,"New York","NY",0.1591668,0.4100661,0.1295509,0.08439,0.54613,0.0498104,-0.0674408,0.013571978,0.016745361,33468.54,89577.6,0.0223117,18.6,0.0088503,"southern tier"
"9","Chenango",51401,"New York","NY",0.030127,0.3344562,0.1436357,0.05138,0.58852,0.0453497,0.0416869,0.021964553,0.021458727,31279.64,83579.1,-0.0126274,14.4,0.0082617,"southern tier"
"10","Clinton",79894,"New York","NY",0.1376399,0.3586529,0.1393713,0.07771,0.58228,0.0448929,-0.0106006,0.012153604,0.010513931,29507.84,112238.6,-0.0012957,17.8,0.0072346,"north country"
"11","Columbia",63094,"New York","NY",0.1431192,0.4225795,0.0902463,0.12105,0.55519,0.0352158,0.0606351,0.026880528,0.021190605,41926.65,149029.4,0.0026947,22.6,0.0038831,"capital"
